train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.7820, 0.4575, 0.2500, 0.1460, 0.2183, 0.7830, 0.4596, 0.2499, 0.1469, 0.2198, 
0.4475, 0.7190, 0.5568, 0.4387, 0.5541, 0.2351, 0.7559, 0.7706, 0.6561, 0.7701, 
0.2494, 0.7556, 0.7503, 0.6387, 0.7511, 0.2317, 0.7669, 0.7720, 0.6648, 0.7764, 
0.2401, 0.7635, 0.7588, 0.6492, 0.7604, 0.2329, 0.7697, 0.7679, 0.6636, 0.7752, 
0.2342, 0.7688, 0.7642, 0.6563, 0.7663, 0.2374, 0.7720, 0.7655, 0.6595, 0.7707, 
0.2294, 0.7713, 0.7693, 0.6615, 0.7711, 0.2279, 0.7822, 0.7699, 0.6710, 0.7803, 
0.2242, 0.7742, 0.7746, 0.6671, 0.7763, 0.2196, 0.7739, 0.7911, 0.6779, 0.7885, 
0.2247, 0.7734, 0.7748, 0.6668, 0.7758, 0.2179, 0.7785, 0.7900, 0.6812, 0.7902, 
0.2221, 0.7760, 0.7771, 0.6698, 0.7784, 0.2148, 0.7768, 0.8011, 0.6843, 0.7934, 
0.2195, 0.7766, 0.7806, 0.6727, 0.7810, 0.2196, 0.7556, 0.8113, 0.6768, 0.7885, 
0.2198, 0.7769, 0.7800, 0.6727, 0.7807, 0.2174, 0.7806, 0.7943, 0.6830, 0.7907, 
0.2198, 0.7787, 0.7798, 0.6728, 0.7807, 0.2118, 0.7864, 0.7926, 0.6883, 0.7964, 
0.2153, 0.7817, 0.7850, 0.6783, 0.7852, 0.2165, 0.7652, 0.8062, 0.6817, 0.7916, 
0.2149, 0.7824, 0.7848, 0.6786, 0.7856, 0.2110, 0.7756, 0.8055, 0.6896, 0.7972, 
0.2143, 0.7821, 0.7855, 0.6790, 0.7862, 0.2155, 0.7808, 0.8025, 0.6848, 0.7927, 
0.2144, 0.7835, 0.7858, 0.6795, 0.7861, 0.2122, 0.7787, 0.8050, 0.6876, 0.7960, 
0.2117, 0.7825, 0.7895, 0.6822, 0.7888, 0.2098, 0.7804, 0.8048, 0.6907, 0.7984, 
0.2125, 0.7832, 0.7875, 0.6815, 0.7880, 0.2157, 0.7893, 0.7946, 0.6850, 0.7925, 
0.2089, 0.7859, 0.7905, 0.6856, 0.7916, 0.2101, 0.7835, 0.8059, 0.6915, 0.7980, 
0.2091, 0.7884, 0.7884, 0.6854, 0.7914, 0.2053, 0.7820, 0.8099, 0.6959, 0.8029, 
0.2104, 0.7845, 0.7899, 0.6839, 0.7901, 0.2116, 0.7834, 0.8091, 0.6886, 0.7966, 
0.2101, 0.7861, 0.7895, 0.6845, 0.7904, 0.2128, 0.7865, 0.8049, 0.6881, 0.7954, 
0.2083, 0.7858, 0.7922, 0.6863, 0.7923, 0.2116, 0.7758, 0.8019, 0.6894, 0.7965, 
0.2081, 0.7868, 0.7920, 0.6865, 0.7925, 0.2077, 0.7795, 0.8128, 0.6923, 0.8004, 
0.2072, 0.7866, 0.7927, 0.6878, 0.7933, 0.2064, 0.7859, 0.8093, 0.6958, 0.8018, 
0.2078, 0.7860, 0.7927, 0.6868, 0.7927, 0.2119, 0.7721, 0.8150, 0.6875, 0.7962, 
0.2072, 0.7878, 0.7928, 0.6877, 0.7933, 0.2106, 0.7837, 0.8124, 0.6902, 0.7976, 
0.2061, 0.7884, 0.7937, 0.6891, 0.7944, 0.2158, 0.7703, 0.8085, 0.6842, 0.7924, 
0.2074, 0.7867, 0.7934, 0.6876, 0.7931, 0.2026, 0.7858, 0.8054, 0.6984, 0.8055, 
0.2062, 0.7891, 0.7938, 0.6891, 0.7943, 0.2033, 0.7957, 0.8090, 0.7001, 0.8049, 
0.2065, 0.7866, 0.7947, 0.6884, 0.7940, 0.2067, 0.7907, 0.8063, 0.6951, 0.8015, 
0.2074, 0.7870, 0.7931, 0.6876, 0.7931, 0.2113, 0.7700, 0.8071, 0.6875, 0.7969, 
0.2062, 0.7882, 0.7953, 0.6894, 0.7943, 0.2031, 0.7836, 0.8130, 0.6997, 0.8050, 
0.2057, 0.7893, 0.7950, 0.6893, 0.7948, 0.2186, 0.7616, 0.8157, 0.6798, 0.7896, 
0.2050, 0.7902, 0.7955, 0.6903, 0.7955, 0.2135, 0.7814, 0.8090, 0.6868, 0.7947, 
0.2030, 0.7910, 0.7971, 0.6927, 0.7975, 0.1985, 0.7910, 0.8207, 0.7037, 0.8097, 
0.2031, 0.7907, 0.7968, 0.6924, 0.7974, 0.2040, 0.7811, 0.8107, 0.6979, 0.8041, 
0.2019, 0.7941, 0.7975, 0.6943, 0.7986, 0.1982, 0.7938, 0.8188, 0.7040, 0.8099, 
0.2016, 0.7918, 0.7989, 0.6943, 0.7989, 0.1970, 0.7963, 0.8151, 0.7070, 0.8111, 
0.2033, 0.7917, 0.7975, 0.6925, 0.7972, 0.2046, 0.7852, 0.8174, 0.6971, 0.8035, 
0.1982, 0.7956, 0.8029, 0.6987, 0.8023, 0.2014, 0.7811, 0.8228, 0.6992, 0.8067, 
0.1988, 0.7944, 0.8027, 0.6980, 0.8017, 0.1977, 0.7950, 0.8168, 0.7060, 0.8104, 
0.1990, 0.7956, 0.8019, 0.6980, 0.8015, 0.2007, 0.7894, 0.8165, 0.7020, 0.8074, 
0.1963, 0.7972, 0.8037, 0.7008, 0.8042, 0.1983, 0.7954, 0.8200, 0.7051, 0.8098, 
0.1977, 0.7969, 0.8023, 0.6994, 0.8028, 0.1917, 0.7975, 0.8266, 0.7114, 0.8165, 
0.1969, 0.7967, 0.8037, 0.7004, 0.8036, 0.1974, 0.7856, 0.8297, 0.7041, 0.8108, 
0.1957, 0.7974, 0.8045, 0.7014, 0.8048, 0.1952, 0.7981, 0.8207, 0.7090, 0.8130, 
0.1956, 0.7974, 0.8048, 0.7019, 0.8049, 0.1969, 0.8008, 0.8203, 0.7073, 0.8113, 
0.1955, 0.7981, 0.8050, 0.7017, 0.8050, 0.2050, 0.7884, 0.8214, 0.6964, 0.8032, 
0.1958, 0.7998, 0.8047, 0.7017, 0.8048, 0.1938, 0.8039, 0.8193, 0.7110, 0.8144, 
0.1938, 0.7991, 0.8063, 0.7039, 0.8067, 0.1958, 0.8010, 0.8210, 0.7089, 0.8123, 
0.1946, 0.7982, 0.8055, 0.7028, 0.8059, 0.1927, 0.8024, 0.8235, 0.7114, 0.8154, 
0.1945, 0.7994, 0.8049, 0.7035, 0.8060, 0.1973, 0.8001, 0.8152, 0.7070, 0.8108, 
0.1943, 0.7997, 0.8055, 0.7035, 0.8062, 0.1934, 0.7963, 0.8242, 0.7104, 0.8147, 
0.1935, 0.8010, 0.8064, 0.7047, 0.8070, 0.1917, 0.7986, 0.8235, 0.7130, 0.8165, 
0.1949, 0.8005, 0.8047, 0.7027, 0.8056, 0.1974, 0.8036, 0.8130, 0.7078, 0.8107, 
0.1934, 0.7995, 0.8061, 0.7043, 0.8071, 0.2019, 0.7882, 0.8199, 0.7009, 0.8063, 
0.1922, 0.8003, 0.8076, 0.7056, 0.8083, 0.1952, 0.7941, 0.8230, 0.7087, 0.8130, 
0.1925, 0.8009, 0.8074, 0.7056, 0.8080, 0.1904, 0.8012, 0.8225, 0.7135, 0.8177, 
0.1918, 0.8013, 0.8072, 0.7062, 0.8087, 0.1940, 0.8007, 0.8237, 0.7106, 0.8142, 
0.1926, 0.8007, 0.8082, 0.7056, 0.8079, 0.2008, 0.7955, 0.8129, 0.7036, 0.8074, 
0.1928, 0.8001, 0.8071, 0.7053, 0.8077, 0.1948, 0.8011, 0.8250, 0.7089, 0.8133, 
0.1931, 0.8010, 0.8071, 0.7050, 0.8074, 0.1954, 0.8023, 0.8188, 0.7095, 0.8127, 
0.1935, 0.8009, 0.8069, 0.7048, 0.8070, 0.1939, 0.7963, 0.8241, 0.7101, 0.8143, 
0.1933, 0.8010, 0.8061, 0.7046, 0.8072, 0.1923, 0.8011, 0.8204, 0.7121, 0.8159, 
0.1918, 0.8018, 0.8085, 0.7065, 0.8087, 0.1920, 0.7945, 0.8303, 0.7107, 0.8162, 
0.1940, 0.7999, 0.8069, 0.7041, 0.8065, 0.1891, 0.8037, 0.8262, 0.7153, 0.8190, 
0.1915, 0.8036, 0.8085, 0.7069, 0.8090, 0.1955, 0.7964, 0.8208, 0.7094, 0.8126, 
0.1923, 0.8013, 0.8086, 0.7060, 0.8082, 0.1936, 0.8046, 0.8191, 0.7112, 0.8146, 
0.1914, 0.8021, 0.8091, 0.7069, 0.8091, 0.1921, 0.8028, 0.8201, 0.7134, 0.8161, 
0.1926, 0.8026, 0.8073, 0.7061, 0.8079, 0.1878, 0.8019, 0.8297, 0.7174, 0.8204, 
0.1896, 0.8051, 0.8094, 0.7092, 0.8109, 0.1884, 0.8039, 0.8241, 0.7169, 0.8198, 
0.1910, 0.8042, 0.8095, 0.7080, 0.8095, 0.1913, 0.8022, 0.8226, 0.7141, 0.8168, 
0.1898, 0.8038, 0.8103, 0.7092, 0.8107, 0.1932, 0.7995, 0.8262, 0.7113, 0.8150, 
0.1879, 0.8048, 0.8126, 0.7108, 0.8126, 0.1918, 0.8029, 0.8249, 0.7135, 0.8163, 
0.1891, 0.8045, 0.8104, 0.7098, 0.8114, 0.1884, 0.8095, 0.8252, 0.7181, 0.8198, 
0.1907, 0.8051, 0.8087, 0.7082, 0.8098, 0.1891, 0.8053, 0.8251, 0.7166, 0.8190, 
0.1901, 0.8049, 0.8100, 0.7086, 0.8104, 0.1897, 0.8054, 0.8269, 0.7157, 0.8184, 
0.1889, 0.8059, 0.8107, 0.7103, 0.8116, 0.1931, 0.8047, 0.8185, 0.7127, 0.8150, 
0.1896, 0.8054, 0.8099, 0.7093, 0.8109, 0.1886, 0.8063, 0.8237, 0.7174, 0.8195, 
0.1884, 0.8064, 0.8113, 0.7105, 0.8121, 0.1929, 0.8014, 0.8259, 0.7119, 0.8152, 
0.1885, 0.8054, 0.8110, 0.7106, 0.8120, 0.1885, 0.8084, 0.8201, 0.7176, 0.8196, 
0.1888, 0.8059, 0.8106, 0.7106, 0.8117, 0.1861, 0.8079, 0.8282, 0.7191, 0.8221, 
0.1889, 0.8058, 0.8103, 0.7104, 0.8116, 0.1958, 0.8093, 0.8140, 0.7105, 0.8123, 
